ID,Price,Item title,Final URL,Image URL,Item subtitle,Availability
legoverksted-i-biblioteket-4,NOK 100,Legoverksted i biblioteket,https://www.hamar-kulturhus.no/arrangementer/legoverksted-i-biblioteket-4/,https://www.hamar-kulturhus.no/wp-content/uploads/2025/01/lego.jpg,6. oktober – 11. oktober 2025,Gratis inngang
kom-i-gang-med-bookbites-4,NOK 100,Kom i gang med BookBites,https://www.hamar-kulturhus.no/arrangementer/kom-i-gang-med-bookbites-4/,https://www.hamar-kulturhus.no/wp-content/uploads/2024/03/Nytt-fra-host-2023.jpg,Fra 7. oktober 2025,Gratis inngang
prosalong-knotta-forst-144-ars-motstand-mot-kvinnefotball-071020251800,NOK 100,ProSalong: Knotta først – 144 års motstand mot kvinnefotball,https://www.hamar-kulturhus.no/arrangementer/prosalong-knotta-forst-144-ars-motstand-mot-kvinnefotball-071020251800/,https://mff.dx.no/180369.jpg,7. oktober 2025,Ledige billetter
digihjelp-2,NOK 100,Digihjelp,https://www.hamar-kulturhus.no/arrangementer/digihjelp-2/,https://www.hamar-kulturhus.no/wp-content/uploads/2025/09/BakgrunnsbildeDX_1920x1080_digihjelp-2025.jpg,Fra 9. oktober 2025,Ingen påmelding
sitt-og-lytt-4,NOK 100,Sitt og lytt,https://www.hamar-kulturhus.no/arrangementer/sitt-og-lytt-4/,https://www.hamar-kulturhus.no/wp-content/uploads/2023/11/Sitt-og-lytt.jpg,Fra 9. oktober 2025,Gratis inngang
detektivbyra-nr-2-operasjon-edderkopp-101020251800,NOK 100,Detektivbyrå nr. 2: Operasjon Edderkopp,https://www.hamar-kulturhus.no/arrangementer/detektivbyra-nr-2-operasjon-edderkopp-101020251800/,https://mff.dx.no/164042.jpg,10. oktober 2025,Ledige billetter
lordagsmatine-kvartetten-oss-fire-111020251400,NOK 100,Lørdagsmatiné: Kvartetten Oss Fire,https://www.hamar-kulturhus.no/arrangementer/lordagsmatine-kvartetten-oss-fire-111020251400/,https://mff.dx.no/170881.jpg,11. oktober 2025,Ledige billetter
hoytlesing-for-barn-2,NOK 100,Høytlesing for barn,https://www.hamar-kulturhus.no/arrangementer/hoytlesing-for-barn-2/,https://www.hamar-kulturhus.no/wp-content/uploads/2025/06/Hoytlesing-illustrasjon-endret-storrelse.jpg,Fra 13. oktober 2025,Gratis
spraktreff-3,NOK 100,Språktreff,https://www.hamar-kulturhus.no/arrangementer/spraktreff-3/,https://www.hamar-kulturhus.no/wp-content/uploads/2024/08/forum-645246.jpg,Fra 13. oktober 2025,Gratis inngang
loke-teater-innlandet-231120251600,NOK 100,LOKE – Teater Innlandet,https://www.hamar-kulturhus.no/arrangementer/loke-teater-innlandet-231120251600/,https://mff.dx.no/173920.jpg,Fra 15. oktober 2025,Ledige billetter
rull-og-rytme,NOK 100,Rull og rytme,https://www.hamar-kulturhus.no/arrangementer/rull-og-rytme/,https://www.hamar-kulturhus.no/wp-content/uploads/2025/08/M51A6586.jpg,Fra 16. oktober 2025,Billett/påmelding
seniorakademiet,NOK 100,Seniorakademiet,https://www.hamar-kulturhus.no/arrangementer/seniorakademiet/,https://www.hamar-kulturhus.no/wp-content/uploads/2024/08/Senior_16x9_web-1.jpg,Fra 16. oktober 2025,Ledige billetter
verdilose-menn-181020251800,NOK 100,Verdiløse menn,https://www.hamar-kulturhus.no/arrangementer/verdilose-menn-181020251800/,https://mff.dx.no/159808.jpg,Fra 17. oktober 2025,Få billetter igjen
byen-var-tema-hamar-kulturhus-181020251230,NOK 100,Byen vår. Tema: Hamar kulturhus,https://www.hamar-kulturhus.no/arrangementer/byen-var-tema-hamar-kulturhus-181020251230/,https://mff.dx.no/178836.jpg,18. oktober 2025,Ledige billetter
prosjekt-proysen-teater-innlandet-021120251900,NOK 100,PROSJEKT PRØYSEN – Teater Innlandet,https://www.hamar-kulturhus.no/arrangementer/prosjekt-proysen-teater-innlandet-021120251900/,https://mff.dx.no/174018.jpg,Fra 18. oktober 2025,Få billetter igjen
migrasjon-og-identitet-religion-som-ressurs-seminar,NOK 100,«Migrasjon og identitet – religion som ressurs?»,https://www.hamar-kulturhus.no/arrangementer/migrasjon-og-identitet-religion-som-ressurs-seminar/,https://www.hamar-kulturhus.no/wp-content/uploads/2025/09/Skjermbilde.jpg,21. oktober 2025,Påmelding
shine-on-you-251020252000,NOK 100,Shine On You,https://www.hamar-kulturhus.no/arrangementer/shine-on-you-251020252000/,https://mff.dx.no/178504.jpg,Fra 24. oktober 2025,Få billetter igjen
ragnhild-og-241020252000,NOK 100,Ragnhild og,https://www.hamar-kulturhus.no/arrangementer/ragnhild-og-241020252000/,https://mff.dx.no/176676.jpg,24. oktober 2025,Ledige billetter
lordagsmatine-magnolia-jazzband-251020251400,NOK 100,Lørdagsmatiné: Magnolia Jazzband,https://www.hamar-kulturhus.no/arrangementer/lordagsmatine-magnolia-jazzband-251020251400/,https://mff.dx.no/169776.jpg,25. oktober 2025,Få billetter igjen
boktipset-5,NOK 100,Boktipset,https://www.hamar-kulturhus.no/arrangementer/boktipset-5/,https://www.hamar-kulturhus.no/wp-content/uploads/2025/08/Boktipsgjengen-2025_1920x1080_.jpg,Fra 28. oktober 2025,Gratis inngang
kunstpause-en-gjest-i-tiden-2-2,NOK 100,Vettug viten: Mer enn bare lek,https://www.hamar-kulturhus.no/arrangementer/kunstpause-en-gjest-i-tiden-2-2/,https://www.hamar-kulturhus.no/wp-content/uploads/2025/09/2910-VV-Kalender-og-fb-169-Hamar.png,29. oktober 2025,Gratis inngang
