id,title,url,img,date,ticketStatus
utstilling-lovende-tross-alt,Utstilling: Lovende – tross alt,https://www.hamar-kulturhus.no/arrangementer/utstilling-lovende-tross-alt/,https://www.hamar-kulturhus.no/wp-content/uploads/2025/04/bilde-til-plakat-Kunstner-Hedda-Sofie-M-Foldvik-kopi-1-mindre-.png,9. april – 31. juli 2025,Gratis inngang
utstilling-stille-liv,Utstilling: Stille liv,https://www.hamar-kulturhus.no/arrangementer/utstilling-stille-liv/,https://www.hamar-kulturhus.no/wp-content/uploads/2025/05/BakgrunnsbildeDX_1920x1080_Evy-Opheim.jpg,23. mai – 1. august 2025,Gratis inngang
utstilling-lovende-tross-alt,Utstilling: Lovende – tross alt,https://www.hamar-kulturhus.no/arrangementer/utstilling-lovende-tross-alt/,https://www.hamar-kulturhus.no/wp-content/uploads/2025/04/bilde-til-plakat-Kunstner-Hedda-Sofie-M-Foldvik-kopi-1-mindre-.png,9. april – 31. juli 2025,Gratis inngang
utstilling-stille-liv,Utstilling: Stille liv,https://www.hamar-kulturhus.no/arrangementer/utstilling-stille-liv/,https://www.hamar-kulturhus.no/wp-content/uploads/2025/05/BakgrunnsbildeDX_1920x1080_Evy-Opheim.jpg,23. mai – 1. august 2025,Gratis inngang
hoytlesing-for-barn,Høytlesing for barn,https://www.hamar-kulturhus.no/arrangementer/hoytlesing-for-barn/,https://www.hamar-kulturhus.no/wp-content/uploads/2025/06/Hoytlesing-illustrasjon-endret-storrelse.jpg,Fra 1. juli 2025,Gratis
world-ballett-grand-prix-2025-gallaforestilling-020720251800,World Ballett Grand Prix 2025 – Gallaforestilling,https://www.hamar-kulturhus.no/arrangementer/world-ballett-grand-prix-2025-gallaforestilling-020720251800/,https://mff.dx.no/175457.jpg,2. juli 2025,Ledige billetter
utstilling-stille-liv,Utstilling: Stille liv,https://www.hamar-kulturhus.no/arrangementer/utstilling-stille-liv/,https://www.hamar-kulturhus.no/wp-content/uploads/2025/05/BakgrunnsbildeDX_1920x1080_Evy-Opheim.jpg,23. mai – 1. august 2025,Gratis inngang
utstilling-tone-bakken-en-gjest-i-livet,Utstilling: Tone Bakken – En gjest i tiden,https://www.hamar-kulturhus.no/arrangementer/utstilling-tone-bakken-en-gjest-i-livet/,https://www.hamar-kulturhus.no/wp-content/uploads/2025/06/BakgrunnsbildeDX_1920x1080_utstilling-Tone-Bakken.jpg,16. august – 20. september 2025,Gratis inngang
utstillingsapning-tone-bakken-en-gjest-i-tiden-160820251300,Utstillingsåpning: Tone Bakken – En gjest i tiden,https://www.hamar-kulturhus.no/arrangementer/utstillingsapning-tone-bakken-en-gjest-i-tiden-160820251300/,https://mff.dx.no/177059.jpg,16. august 2025,Ledige billetter
seniorakademiet,Seniorakademiet,https://www.hamar-kulturhus.no/arrangementer/seniorakademiet/,https://www.hamar-kulturhus.no/wp-content/uploads/2024/08/Senior_16x9_web-1.jpg,Fra 21. august 2025,Ledige billetter
move-dansefestival-soft-machine-300820251500,MOVE Dansefestival: Soft Machine,https://www.hamar-kulturhus.no/arrangementer/move-dansefestival-soft-machine-300820251500/,https://mff.dx.no/176555.jpg,30. august 2025,Ledige billetter
utstilling-tone-bakken-en-gjest-i-livet,Utstilling: Tone Bakken – En gjest i tiden,https://www.hamar-kulturhus.no/arrangementer/utstilling-tone-bakken-en-gjest-i-livet/,https://www.hamar-kulturhus.no/wp-content/uploads/2025/06/BakgrunnsbildeDX_1920x1080_utstilling-Tone-Bakken.jpg,16. august – 20. september 2025,Gratis inngang
prosjekt-proysen-teater-innlandet-070920251900,PROSJEKT PRØYSEN – Teater Innlandet,https://www.hamar-kulturhus.no/arrangementer/prosjekt-proysen-teater-innlandet-070920251900/,https://mff.dx.no/174009.jpg,Fra 4. september 2025,Ledige billetter
forsvarets-stabsmusikkorps-wenche-myhre-120920251800,Forsvarets stabsmusikkorps & Wenche Myhre,https://www.hamar-kulturhus.no/arrangementer/forsvarets-stabsmusikkorps-wenche-myhre-120920251800/,https://mff.dx.no/169427.jpg,12. september 2025,Ledige billetter
stitsjorama-sy-og-strikkefestival-140920251000,Stitsjorama – sy og strikkefestival,https://www.hamar-kulturhus.no/arrangementer/stitsjorama-sy-og-strikkefestival-140920251000/,https://mff.dx.no/168210.jpg,Fra 13. september 2025,Ledige billetter
seniorakademiet,Seniorakademiet,https://www.hamar-kulturhus.no/arrangementer/seniorakademiet/,https://www.hamar-kulturhus.no/wp-content/uploads/2024/08/Senior_16x9_web-1.jpg,Fra 18. september 2025,Ledige billetter
dr-bergland-pa-dod-og-liv-180920252100,Dr. Bergland – på død og liv,https://www.hamar-kulturhus.no/arrangementer/dr-bergland-pa-dod-og-liv-180920252100/,https://mff.dx.no/162858.jpg,18. september 2025,Få billetter igjen
syng-teater-innlandet-300420262000,SYNG! – Teater Innlandet,https://www.hamar-kulturhus.no/arrangementer/syng-teater-innlandet-300420262000/,https://mff.dx.no/173742.png,Fra 18. september 2025,Ledige billetter
lissie-og-oystein-greni-presenterer-alvarado-moon-190920252000,Lissie og Øystein Greni presenterer «Alvarado Moon»,https://www.hamar-kulturhus.no/arrangementer/lissie-og-oystein-greni-presenterer-alvarado-moon-190920252000/,https://mff.dx.no/175394.jpg,19. september 2025,Ledige billetter
lordagsmatine-hakon-kornstad-en-hyllest-til-jussi-bjorling-200920251400,Lørdagsmatiné: Håkon Kornstad – en hyllest til Jussi Björling,https://www.hamar-kulturhus.no/arrangementer/lordagsmatine-hakon-kornstad-en-hyllest-til-jussi-bjorling-200920251400/,https://mff.dx.no/174378.jpg,20. september 2025,Ledige billetter
legenden-om-narnia-loven-heksa-og-klesskapet-riksteatret-200920251700,"Legenden om Narnia. Løven, heksa og klesskapet – Riksteatret",https://www.hamar-kulturhus.no/arrangementer/legenden-om-narnia-loven-heksa-og-klesskapet-riksteatret-200920251700/,https://mff.dx.no/155196.jpg,20. september 2025,Få billetter igjen
hostkonsert-med-baadsvik-og-bruksmusikken-210920251800,Høstkonsert med Baadsvik og Bruksmusikken,https://www.hamar-kulturhus.no/arrangementer/hostkonsert-med-baadsvik-og-bruksmusikken-210920251800/,https://mff.dx.no/166102.jpg,21. september 2025,Ledige billetter
ord-for-blod-riksteatret-premiere-230920251900,Ord for blod / Riksteatret – Premiere,https://www.hamar-kulturhus.no/arrangementer/ord-for-blod-riksteatret-premiere-230920251900/,https://mff.dx.no/173298.jpg,23. september 2025,Ledige billetter
musikalis-dansegalla-2025-250920251800,Musikalis Dansegalla 2025,https://www.hamar-kulturhus.no/arrangementer/musikalis-dansegalla-2025-250920251800/,https://mff.dx.no/174177.jpg,25. september 2025,Ledige billetter
frode-alnaes-solo-260920252000,Frode Alnæs – Solo,https://www.hamar-kulturhus.no/arrangementer/frode-alnaes-solo-260920252000/,https://mff.dx.no/166244.jpg,26. september 2025,Ledige billetter
mantecao-y-el-son-de-altura-hamar-latinfestival-260920252030,Mantecao y el son de Altura / Hamar Latinfestival,https://www.hamar-kulturhus.no/arrangementer/mantecao-y-el-son-de-altura-hamar-latinfestival-260920252030/,https://mff.dx.no/175893.jpg,26. september 2025,Ledige billetter
hamar-latin-festival,Hamar Latin Festival 2025,https://www.hamar-kulturhus.no/arrangementer/hamar-latin-festival/,https://www.hamar-kulturhus.no/wp-content/uploads/2025/06/Mantecao_skjerm_1920_1080.jpg,Fra 27. september 2025,Påmelding
